city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Le Pré-Saint-Gervais,48.885,2.4039,France,FR,Île-de-France,,17485,17351
Juvisy-sur-Orge,48.6883,2.3775,France,FR,Île-de-France,,17454,17454
Bischheim,48.6139,7.7519,France,FR,Grand Est,,17353,17353
Lons-le-Saunier,46.6744,5.5539,France,FR,Bourgogne-Franche-Comté,minor,17320,17189
Chamalières,45.7736,3.0669,France,FR,Auvergne-Rhône-Alpes,,17276,17276
Le Pontet,43.9642,4.86,France,FR,Provence-Alpes-Côte d’Azur,,17273,17041
Limay,48.9933,1.7358,France,FR,Île-de-France,,17147,17136
Cluses,46.0603,6.5786,France,FR,Auvergne-Rhône-Alpes,,16996,16918
Firminy,45.3881,4.2872,France,FR,Auvergne-Rhône-Alpes,,16981,16901
Boissy-Saint-Léger,48.7503,2.5097,France,FR,Île-de-France,,16977,16977
Hendaye,43.3586,-1.7744,France,FR,Nouvelle-Aquitaine,,16967,16967
Octeville,49.6269,-1.6431,France,FR,Normandie,,16948,16948
Viroflay,48.8,2.1722,France,FR,Île-de-France,,16752,16752
Jouy-le-Moutier,49.0108,2.0386,France,FR,Île-de-France,,16741,16741
Port-de-Bouc,43.405,4.9886,France,FR,Provence-Alpes-Côte d’Azur,,16651,16651
Carrières-sous-Poissy,48.9478,2.0386,France,FR,Île-de-France,,16641,16641
L’Isle-d’Abeau,45.6194,5.2331,France,FR,Auvergne-Rhône-Alpes,,16584,16584
Vauréal,49.03,2.0214,France,FR,Île-de-France,,16575,16456
Saint-Jean-de-la-Ruelle,47.9131,1.8733,France,FR,Centre-Val de Loire,,16445,16411
Marly-le-Roi,48.8669,2.0942,France,FR,Île-de-France,,16385,16385
Le Bourget,48.9344,2.4244,France,FR,Île-de-France,,16139,15905
Saint-Leu-la-Forêt,49.0169,2.2464,France,FR,Île-de-France,,16130,16130
Verneuil-sur-Seine,48.9797,1.9739,France,FR,Île-de-France,,15982,15980
Noisiel,48.8547,2.6289,France,FR,Île-de-France,,15960,15960
Le Pecq,48.8967,2.1061,France,FR,Île-de-France,,15949,15716
Saint-Égrève,45.2317,5.6831,France,FR,Auvergne-Rhône-Alpes,,15944,15944
Le Vésinet,48.8939,2.1322,France,FR,Île-de-France,,15943,15943
Petite-Synthe,51.0231,2.3528,France,FR,Hauts-de-France,,15911,15911
Saint-Julien-en-Genevois,46.1442,6.0842,France,FR,Auvergne-Rhône-Alpes,minor,15873,15873
Orsay,48.6981,2.1875,France,FR,Île-de-France,,15844,15503
Domont,49.0275,2.3267,France,FR,Île-de-France,,15504,15504
